u,v,key,osmid,highway,name,oneway,ref,reversed,length,lanes,maxspeed,tunnel,width
31253600,7092267898,0,23705307,primary_link,新大橋通り,True,50,False,41.987798424376855,,,,
31253600,31253943,0,25824161,primary,新大橋通り,True,50,False,28.281910431849727,,,,
31253776,9510994556,0,879780891,primary,海岸通り,True,316,False,28.036136149471332,4,50,,
31253943,7092267898,0,894991906,primary,海岸通り,True,316,False,21.861682563041196,4,50,,
31253982,31253943,0,894991907,primary,海岸通り,True,316,False,15.890500209179857,4,50,,
31254273,1130958910,0,97685642,unclassified,木挽町通り,True,,False,109.75305812949203,,,,
31254273,7094898112,0,879780891,primary,海岸通り,True,316,False,43.788285463979165,4,50,,
31254274,31254273,0,879780891,primary,海岸通り,True,316,False,34.295761539154924,4,50,,
31254276,2172319420,0,879780891,primary,海岸通り,True,316,False,51.23242172757454,4,50,,
31254284,31254276,0,271720648,primary,海岸通り,True,316,False,19.07086639908431,4,50,,
31254284,31254298,0,"[271720704, 4848928]",primary,昭和通り,True,316,False,134.37419577016118,4,,,
31254284,1130958305,0,667962677,tertiary,御門通り,True,,False,36.62659499114356,,,,
31254286,11583657069,0,"[1245989825, 548908719, 92223192, 1245989821, 4848926]",primary,昭和通り,True,316,False,762.9334169951072,,,yes,
31254298,835996344,0,4848928,primary,昭和通り,True,316,False,59.13769353352375,,,,
31254303,835996358,0,271720622,primary,昭和通り,True,316,False,70.42653831973533,,,,
31254305,31254306,0,4848928,primary,昭和通り,True,316,False,12.540697311112083,,,,
31254305,1130958441,0,539237086,primary,晴海通り,True,304,False,42.52034816142754,3,,,
31254306,31254310,0,539237084,primary,晴海通り,True,304,False,22.829373775963507,3,,,
31254306,31254307,0,4848928,primary,昭和通り,True,316,False,131.48457490056552,,,,
31254307,31254311,0,342481201,unclassified,松屋通り,True,,False,23.07940585593812,,,,
31254307,598438985,0,4848928,primary,昭和通り,True,316,False,132.91115238349425,,,,
31254309,31254305,0,539237086,primary,晴海通り,True,304,False,23.168473561188513,3,,,
31254309,1070638565,0,580847357,primary,昭和通り,True,316,False,122.32909237938507,,,,
31254310,31254309,0,580847357,primary,昭和通り,True,316,False,11.168681786919237,,,,
31254310,1130958517,0,269150840,primary,晴海通り,True,304,False,98.00926663252962,3,,,
31254311,31254310,0,69963039,primary,昭和通り,True,316,False,135.0495803780688,,,,
31254311,1105152954,0,342481201,unclassified,松屋通り,True,,False,103.59572026925856,,,,
31254313,1130958546,0,43988828,unclassified,,True,,False,105.15003142615168,,,,
31254313,1130958407,0,895804510,tertiary,御門通り,True,,False,32.31964488285405,,,,
31254325,1130958590,0,97685754,unclassified,花椿通り,True,,False,43.538141028205686,,30,,
31254325,499185790,0,538982927,trunk,中央通り,True,15,False,133.6435455512395,2,50,,
31254332,31254325,0,1378653205,unclassified,花椿通り,True,,False,5.720811797849718,,30,,
31254332,31254333,0,196380141,trunk,中央通り,True,15,False,129.26943422960034,2,50,,
31254333,565362096,0,33847144,unclassified,交詢社通り,True,,False,46.85731746432923,,,,
31254333,473462992,0,196380141,trunk,中央通り,True,15,False,130.00988799941908,2,50,,
31254351,951247035,0,342481196,unclassified,,True,,False,110.10054321320288,,,,
31255167,598438985,0,95274352,tertiary,,False,,True,22.279686868996997,,,,
31255167,31254311,0,69963039,primary,昭和通り,True,316,False,133.9185981499813,,,,
31255183,2153861398,0,856631371,unclassified,,True,,False,74.1589922091134,1,30,,
31255183,1105125516,0,968060910,tertiary,銀座桜通り,False,,False,31.35212610008565,,,,
31255183,1070638350,0,968060910,tertiary,銀座桜通り,False,,True,63.38267631823627,,,,
31255186,1105152945,0,968060906,tertiary,銀座桜通り,False,,True,60.2029678229294,,,,
31255186,1070638366,0,968060907,tertiary,銀座桜通り,False,,False,56.34243185809588,,,,
31255186,5110457575,0,1085022605,unclassified,,True,,False,34.7074344676964,,,,
254367451,1105125307,0,539237084,primary,晴海通り,True,304,False,53.203551805457714,3,,,
258071906,258071907,0,1090618166,trunk,中央通り,True,15,False,12.552575464036563,2,50,,
258071906,565362098,0,539237085,primary,晴海通り,True,304,False,53.66728050674104,3,,,
258071907,951247020,0,539237084,primary,晴海通り,True,304,False,7.366256320639131,3,,,
258071907,565362105,0,1026056857,trunk,中央通り,True,15,False,113.6369451219989,2,50,,
258071908,499185615,0,1070720650,tertiary,銀座桜通り,False,,True,7.759157016134823,,,,
258071908,1105152856,0,"[1070720649, 1070720646]",tertiary,銀座桜通り,False,,False,53.10542090941282,2,,,
304153029,473470182,0,27695604,unclassified,並木通り,True,,False,11.936962020990574,,,,10
304153029,473471533,0,539237085,primary,晴海通り,True,304,False,32.69597671868445,3,,,
304153030,565362076,0,27695604,unclassified,並木通り,True,,False,104.88893760241632,,,,10
304153031,2135828545,0,27695605,unclassified,,True,,False,3.7619448755209404,,,,
304153031,2135828550,0,240595359,tertiary,,False,,True,5.275825860283356,2,,,
304153034,473462991,0,27695604,unclassified,並木通り,True,,False,130.31207320762064,,,,10
304153034,473470386,0,33847144,unclassified,交詢社通り,True,,False,43.97267241542536,,,,
304153036,565362121,0,46869644,unclassified,銀座マロニエ通り,False,,True,7.201428700397232,,,,
304153036,689881123,0,568498791,trunk,中央通り,True,15,False,132.76959428121813,2,50,,
387769189,565362085,0,33847144,unclassified,交詢社通り,True,,False,37.44818186335301,,,,
387769189,2019136813,0,39629507,residential,,True,,False,90.95823405038871,,,,
387769191,2135828579,0,44492913,unclassified,花椿通り,False,,False,47.32849086771473,,,,
387769191,565362081,0,44492913,unclassified,花椿通り,False,,True,31.924051591820525,,,,
473462991,304153029,0,27695604,unclassified,並木通り,True,,False,132.5659541628977,,,,10
473462991,473474086,0,39629578,unclassified,みゆき通り,True,,False,45.92079529530653,,30,,
473462992,473462993,0,39629578,unclassified,みゆき通り,True,,False,6.718082774349923,,30,,
473462992,258071906,0,196380141,trunk,中央通り,True,15,False,128.21701688822415,2,50,,
473462993,1130958981,0,39629578,unclassified,みゆき通り,True,,False,57.09463064730373,,30,,
473462993,1891432787,0,538982927,trunk,中央通り,True,15,False,130.19212038764414,2,50,,
473470166,473470198,0,27695604,unclassified,並木通り,True,,False,86.81603937061395,,,,10
473470166,510591085,0,95277526,unclassified,銀座柳通り,True,,False,45.702274276603035,,,,
473470182,1130958543,0,27695604,unclassified,並木通り,True,,False,60.7697217831212,,,,10
473470182,473474084,0,884274229,primary,晴海通り,True,304,False,52.84698851922059,3,,,
473470198,499185617,0,690198419,tertiary,銀座桜通り,False,,True,25.377822167924634,,,,
473470198,1105152922,0,690198420,tertiary,銀座桜通り,False,,False,48.00604333172544,,,,
473470385,473462991,0,39629578,unclassified,みゆき通り,True,,False,42.61223291489441,,30,,
473470385,473470386,0,240595364,unclassified,,True,,False,131.76055368688307,,30,,
473470386,2135828611,0,33847144,unclassified,交詢社通り,True,,False,32.8635240561061,,,,
473470386,565362075,0,240595364,unclassified,,True,,False,128.23854130749842,,30,,
473470387,304153030,0,27695605,unclassified,,True,,False,43.08229396239585,,,,
473470387,473470388,0,240595364,unclassified,,True,,False,91.78128806223545,,30,,
473470388,2135828535,0,1025991803,tertiary,御門通り,True,,False,38.02283447231754,,,,
473471533,473470385,0,39521243,unclassified,ソニー通り,True,,False,136.14555514408286,,30,,
473471533,2135828639,0,539237085,primary,晴海通り,True,304,False,41.69019215383849,3,,,
473471752,387769189,0,39521349,unclassified,数寄屋通り,True,,False,129.74422656295675,,,,
473471752,2135828631,0,39629578,unclassified,みゆき通り,True,,False,47.55866398601223,,30,,
473474084,565362099,0,884274229,primary,晴海通り,True,304,False,25.374352435510648,3,,,
473474085,473474086,0,39521608,unclassified,西五番街通り,True,,False,134.0200284553374,,,,
473474085,304153029,0,539237085,primary,晴海通り,True,304,False,53.52134453164675,3,,,
473474086,475008840,0,39629578,unclassified,みゆき通り,True,,False,39.71682981907981,,30,,
473474086,565362087,0,240595362,unclassified,,True,,False,130.59338721357742,,,,
473474087,565362073,0,4848930,tertiary,御門通り,True,,False,44.60775788734547,,,,
475008839,473474087,0,4848930,tertiary,御門通り,True,,False,41.59667687825573,,,,
475008839,565362079,0,39629166,residential,金春通り,False,,False,152.76431157744295,,,,
475008840,473462992,0,39629578,unclassified,みゆき通り,True,,False,48.963362657159834,,30,,
475008840,565362098,0,240595360,unclassified,銀座すずらん通り,True,,False,131.70381284326527,,,,
475010342,1130958878,0,680788593,primary,晴海通り,True,304,False,62.56061295165365,3,,,
475010342,5218144609,0,904911912,unclassified,,False,,True,16.925411356557444,,,,
475010618,6188342496,0,39520581,unclassified,銀座コリドー通り,True,,False,72.38078326649014,,,,
499185613,1105125075,0,968060910,tertiary,銀座桜通り,False,,False,37.73607027488604,,,,
499185613,1105125707,0,968060910,tertiary,銀座桜通り,False,,True,16.906763112495373,,,,
499185613,1105125539,0,95274326,unclassified,銀座三原通り,True,,False,146.25704846828742,,,,
499185615,258071908,0,1070720650,tertiary,銀座桜通り,False,,False,7.759157016134823,,,,
499185615,1105152894,0,568498791,trunk,中央通り,True,15,False,140.47699669373787,2,50,,
499185615,1105125075,0,"[1070720648, 968060910]",tertiary,銀座桜通り,False,,True,41.64174863835055,,,,
499185617,1105152881,0,690198421,tertiary,銀座桜通り,False,,True,24.025374228023175,,,,
499185617,473470198,0,690198419,tertiary,銀座桜通り,False,,False,25.377822167924634,,,,
499185632,5110457571,0,856631371,unclassified,,True,,False,30.04326930123901,1,30,,
499185632,5110476586,0,525293040,unclassified,,True,,False,60.610618228323276,,,,
499185790,1105125625,0,667962676,tertiary,御門通り,True,,False,7.600227989600194,,,,
510591085,510591086,0,95277526,unclassified,銀座柳通り,True,,False,40.01656730550748,,,,
510591085,565362116,0,39629431,unclassified,銀座レンガ通り,True,,False,128.870621989561,,,,
510591086,1105152920,0,95277526,unclassified,銀座柳通り,True,,False,48.875926416114936,,,,
510591086,7004247500,0,207093731,residential,銀座ガス灯通り,True,,False,44.18381948412752,,,,
559359752,1070638575,0,4848928,primary,昭和通り,True,316,False,126.29063286736698,,,,
559359752,559979729,0,39629550,unclassified,交詢社通り,True,,False,63.03715475668025,,,,
559359760,559979730,0,680788592,unclassified,みゆき通り,True,,False,38.77838143459674,,30,,
559359760,1130958964,0,43988828,unclassified,,True,,False,92.05222131378191,,,,
559359763,1130958602,0,39629550,unclassified,交詢社通り,True,,False,31.09792766734916,,,,
559359763,559359760,0,43988828,unclassified,,True,,False,130.41964020643425,,,,
559979729,559359763,0,39629550,unclassified,交詢社通り,True,,False,35.56304853457171,,,,
559979729,1721499345,0,44049166,unclassified,,True,,False,53.52917656406695,1,,,
559979730,559979729,0,44049166,unclassified,,True,,False,130.6195296030035,1,,,
559979730,1070638575,0,680788592,unclassified,みゆき通り,True,,False,58.781770806118715,,30,,
565362073,304153030,0,27695604,unclassified,並木通り,True,,False,76.8400095007684,,,,10
565362073,473470388,0,1025991803,tertiary,御門通り,True,,False,47.551024576190926,,,,
565362074,2135828579,0,44492913,unclassified,花椿通り,False,,True,5.149257982814962,,,,
565362074,2135828574,0,240595361,unclassified,花椿通り,True,,False,4.432533149491762,,,,
565362075,565362076,0,240595361,unclassified,花椿通り,True,,False,40.72189620968222,,,,
565362075,473470387,0,240595364,unclassified,,True,,False,103.53600669069269,,30,,
565362076,304153034,0,27695604,unclassified,並木通り,True,,False,128.3579817880394,,,,10
565362076,565362077,0,240595361,unclassified,花椿通り,True,,False,46.39901665837936,,,,
565362077,565362079,0,240595361,unclassified,花椿通り,True,,False,40.75195359578306,,,,
565362077,473474087,0,839784837,unclassified,見番通り,True,,False,165.91464657760753,,,,
565362079,475008839,0,39629166,residential,金春通り,False,,True,152.76431157744295,,,,
565362079,565362096,0,240595360,unclassified,銀座すずらん通り,True,,False,129.3092527373475,,,,
565362079,31254332,0,240595361,unclassified,花椿通り,True,,False,49.16338430745118,,,,
565362081,2019136815,0,39520581,unclassified,銀座コリドー通り,True,,False,41.0573780883925,,,,
565362081,387769191,0,44492913,unclassified,花椿通り,False,,False,31.924051591820525,,,,
565362085,475010618,0,33847144,unclassified,交詢社通り,True,,False,31.396365854248693,,,,
565362085,565362093,0,44492914,residential,泰明通り,True,,False,107.72155043654381,,,,
565362087,304153034,0,33847144,unclassified,交詢社通り,True,,False,45.7264973776991,,,,
565362087,565362077,0,240595362,unclassified,,True,,False,129.4195400301482,,,,
565362093,473471752,0,"[39629578, 660991124]",unclassified,みゆき通り,True,,False,44.70342049629897,,30,,
565362096,565362087,0,33847144,unclassified,交詢社通り,True,,False,40.45254760403924,,,,
565362096,475008840,0,240595360,unclassified,銀座すずらん通り,True,,False,130.9024014929645,,,,
565362098,473474085,0,539237085,primary,晴海通り,True,304,False,26.85614818837665,3,,,
565362099,565362103,0,207093731,residential,銀座ガス灯通り,True,,False,115.82145949523418,,,,
565362099,258071907,0,884274229,primary,晴海通り,True,304,False,55.93244286580034,3,,,
565362101,473474084,0,39629431,unclassified,銀座レンガ通り,True,,False,112.94981183184005,,,,
565362101,565362103,0,342481201,unclassified,松屋通り,True,,False,38.93965040274179,,,,
565362103,565362118,0,207093731,residential,銀座ガス灯通り,True,,False,132.7513561639184,,,,
565362103,565362105,0,342481201,unclassified,松屋通り,True,,False,49.03317375720212,,,,
565362105,689881123,0,342481201,unclassified,松屋通り,True,,False,6.058015160094142,,,,
565362105,565362121,0,1026056857,trunk,中央通り,True,15,False,132.560964565671,2,50,,
565362110,565362114,0,27695604,unclassified,並木通り,True,,False,132.76962438489707,,,,10
565362110,565362101,0,342481201,unclassified,松屋通り,True,,False,46.656646779245186,,,,
565362114,473470166,0,27695604,unclassified,並木通り,True,,False,128.58191748068063,,,,10
565362114,2882602655,0,44492916,residential,銀座マロニエ通り,True,,False,36.87827716753048,,,,
565362116,565362101,0,39629431,unclassified,銀座レンガ通り,True,,False,132.21642445144008,,,,
565362116,565362114,0,44492916,residential,銀座マロニエ通り,True,,False,46.329829217186365,,,,
565362118,565362116,0,44492916,residential,銀座マロニエ通り,True,,False,40.047334526462905,,,,
565362118,510591086,0,207093731,residential,銀座ガス灯通り,True,,False,128.64829001508724,,,,
565362121,304153036,0,46869644,unclassified,銀座マロニエ通り,False,,False,7.201428700397232,,,,
565362121,565362118,0,44492916,residential,銀座マロニエ通り,True,,False,47.84981669727086,,,,
565362121,1105152920,0,1026056857,trunk,中央通り,True,15,False,128.99496410295845,2,50,,
573250483,10154457637,0,1158715735,primary_link,晴海通り(左側の側道),True,304,False,7.769725943738635,1,,,
598438978,598438981,0,46869645,unclassified,あづま通り,True,,False,131.93678368868092,,30,,
598438978,1105125583,0,342481201,unclassified,松屋通り,True,,False,59.79363093064309,,,,
598438981,1105125509,0,46869645,unclassified,あづま通り,True,,False,129.43688458357568,,30,,
598438981,304153036,0,240392370,unclassified,銀座マロニエ通り,True,,False,54.55885407945409,,,,
598438985,31255167,0,95274352,tertiary,,False,,False,22.279686868996997,,,,
598438985,1070638617,0,4848928,primary,昭和通り,True,316,False,130.88907091664117,,,,
598438985,1105125467,0,95274316,unclassified,,True,,False,45.33391643933574,,,,
598438986,1105125670,0,46869642,unclassified,,True,,False,130.9908891562672,,,,
598438986,1105125227,0,240392370,unclassified,銀座マロニエ通り,True,,False,26.95806137575076,,,,
689881123,598438978,0,342481201,unclassified,松屋通り,True,,False,63.539387398687474,,,,
689881123,951247020,0,568498791,trunk,中央通り,True,15,False,114.14924641346374,2,50,,
835996327,1130958801,0,97685704,unclassified,,False,,True,11.207371836876053,,30,,
835996327,31254303,0,172598650,tertiary,中央市場通り,True,,False,46.894432083980035,2,,,
835996327,835996333,0,606147470,unclassified,,True,,False,70.84551381555755,,30,,
835996333,1130958910,0,651701877,tertiary,銀中通り,False,,False,35.077859979112525,,,,
835996333,31254274,0,606147470,unclassified,,True,,False,94.24831581015366,,30,,
835996333,835996358,0,651701877,tertiary,銀中通り,False,,True,62.54500425158007,,,,
835996338,878518740,0,74314564,residential,,False,,True,77.51048260428908,,,,
835996338,835996357,0,342481198,unclassified,,True,,False,69.93587191696014,,,,
835996339,951247002,0,69963030,unclassified,,True,,False,146.72598737336375,,,,
835996343,31254303,0,580847357,primary,昭和通り,True,316,False,10.255675561238293,,,,
835996343,1130958801,0,69963044,tertiary,中央市場通り,True,,False,46.88593709412629,2,,,
835996344,1721499195,0,4848928,primary,昭和通り,True,316,False,21.163126856045356,,,,
835996344,31254286,0,69963031,primary_link,昭和通り,True,316,False,36.99315705926085,1,,,
835996352,835996360,0,69963032,tertiary,銀中通り,False,,True,8.901344185101623,,,,
835996352,1130958313,0,69963032,tertiary,銀中通り,False,,False,119.78599122574542,,,,
835996352,1130958331,0,69963044,tertiary,中央市場通り,True,,False,49.48074956702928,2,,,
835996357,878518780,0,92223190,tertiary,,False,,True,69.99352541124352,,,,
835996357,1105152918,0,342481198,unclassified,,True,,False,105.15218480437309,,,,
835996358,2172319420,0,69963036,primary_link,,True,,False,91.49640543007669,1,,,
835996358,31254276,0,271720622,primary,昭和通り,True,316,False,65.95991953473056,,,,
835996358,835996333,0,651701877,tertiary,銀中通り,False,,False,62.54500425158007,,,,
835996360,835996352,0,69963032,tertiary,銀中通り,False,,False,8.901344185101623,,,,
835996360,1130958910,0,"[69963032, 651701877]",tertiary,銀中通り,False,,True,138.06787151920938,,,,
835996360,1130958558,0,172598650,tertiary,中央市場通り,True,,False,69.46043357146154,2,,,
835996368,835996343,0,580847357,primary,昭和通り,True,316,False,50.165297275851756,,,,
835996371,1130958313,0,69963032,tertiary,銀中通り,False,,True,115.55809434348804,,,,
835996371,1105152891,0,95277523,unclassified,銀中通り,True,,False,90.6896266458529,,,,
835996371,6271645596,0,240595358,unclassified,,True,,False,27.10527450768238,,30,,
878518740,1105152915,0,74314548,residential,木挽町通り,True,,False,74.16746394331962,,30,,
878518740,835996338,0,74314564,residential,,False,,False,77.5104826042891,,,,
878518740,878518784,0,74314564,residential,,False,,True,38.1767675634368,,,,
878518757,878518780,0,92223190,tertiary,,False,,False,38.66006009425483,,,,
878518757,1105152884,0,74314550,residential,,True,,False,88.60838259696115,,,,
878518757,1070638257,0,92223190,tertiary,,False,,True,39.987931047849585,,,,
878518780,878518757,0,92223190,tertiary,,False,,True,38.66006009425483,,,,
878518780,878518740,0,74314548,residential,木挽町通り,True,,False,59.55349122913772,,30,,
878518780,835996357,0,92223190,tertiary,,False,,False,69.99352541124351,,,,
878518784,878518757,0,74314550,residential,,True,,False,59.17489042542961,,,,
878518784,878518740,0,74314564,residential,,False,,False,38.1767675634368,,,,
878518784,1105152917,0,74314564,residential,,False,,True,39.060080831631964,,,,
951246999,258071906,0,568498790,primary,晴海通り,True,304,False,7.412639547977317,3,,,
951246999,473462993,0,538982927,trunk,中央通り,True,15,False,128.0116139478427,2,50,,
951247002,31254351,0,1391162948,unclassified,,True,,False,29.202992878845137,,,,
951247020,951246999,0,1090618167,trunk,中央通り,True,15,False,12.300449364047704,2,50,,
951247020,951247036,0,539237084,primary,晴海通り,True,304,False,63.2992118721813,3,,,
951247022,1105152917,0,240392347,unclassified,木挽町仲通り,True,,False,72.94474958655604,,,,
951247022,31255167,0,342481197,tertiary,,True,,False,44.76318042603316,,,,
951247034,951247022,0,342481197,tertiary,,True,,False,37.97428568037522,,,,
951247034,878518784,0,74314550,residential,,True,,False,73.80538824294156,,,,
951247035,1105152915,0,342481197,tertiary,,True,,False,74.80662027370511,,,,
951247035,835996338,0,342481198,unclassified,,True,,False,76.36894804814274,,,,
951247036,254367451,0,539237084,primary,晴海通り,True,304,False,61.7310732800965,3,,,
951247036,598438978,0,"[723856283, 723856284, 46869645]",unclassified,あづま通り,True,,False,116.84699419286169,,30,,
951247044,1105125170,0,342481201,unclassified,松屋通り,True,,False,39.44687784831297,,,,
951247044,598438986,0,46869642,unclassified,,True,,False,132.81883205932814,,,,
1070638135,31255167,0,69963039,primary,昭和通り,True,316,False,131.34458436973384,,,,
1070638135,1070638257,0,92223190,tertiary,,False,,False,49.38214730896537,,,,
